grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
3.72,940,0,0,0,4,0,0,0,0,1
3.5,0,0,0,0,1,0,0,0,0,0
3.45,0,0,0,0,1,0,0,0,0,0
3.63,0,0,0,0,0,0,0,0,0,0
4.11,0,0,0,0,2,0,1,0,0,1
3.83,0,0,0,0,2,0,0,0,0,0
4.23,0,0,2,0,2,0,2,0,2,1
3.61,0,0,2,0,2,0,0,0,0,1
3.56,0,0,0,0,0,0,0,0,0,0
3.56,0,0,0,0,0,0,0,0,0,0
3.97,760,6,0,0,0,0,0,0,0,1
3.2,0,0,0,0,1,0,0,0,0,0
3.1,680,0,0,0,2,0,0,0,0,1
3.1,680,0,0,0,2,0,0,0,0,1
3.3,0,0,0,0,2,0,0,0,0,0
3.7,850,0,0,0,1,0,0,1,0,1
3.7,660,0,2,0,3,0,0,2,2,1
3.32,720,0,1,0,4,0,0,0,1,1
3.14,715,0,0,0,0,0,0,0,0,0
4.49,0,0,0,0,0,0,0,0,0,0
3.7,660,0,2,0,3,0,0,2,2,1
3.62,745,0,0,0,4,0,0,0,0,1
3.79,565,0,0,0,2,0,1,2,2,1
3.2,0,0,0,0,1,0,0,0,0,0
3.6,0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0,0
3.9,0,0,0,0,0,0,3,0,0,1
3.7,850,0,0,0,1,0,0,1,0,1
3.3,0,0,0,0,3,0,0,0,0,1
3.9,0,0,0,0,0,0,3,0,0,1
0,955,7,0,0,4,1,4,2,0,1
2.99,0,0,0,0,1,0,1,0,1,1
3.94,0,0,0,0,1,0,0,0,0,0
3.42,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,5,0,2,0,0,1
3.44,0,0,0,0,4,0,0,0,0,1
3.2,0,0,0,0,0,0,0,0,0,0
4.01,0,0,0,0,2,1,0,0,0,1
3.68,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0
3.68,0,0,1,0,4,1,0,0,1,1
3.35,825,0,0,0,1,0,0,2,0,1
2.25,890,0,0,0,1,0,0,0,0,1
3.87,650,0,0,0,1,0,0,0,1,1
3.6,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,3,0,0,0,0,1
2.91,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0
3.29,0,0,0,0,4,0,0,0,0,1
3.9,0,0,0,0,3,0,0,0,0,1
3.77,0,0,0,0,1,0,0,0,0,0
3.81,0,0,0,0,0,0,0,0,0,0
3.67,0,0,0,0,2,0,0,0,0,0
4.1,820,0,0,0,3,0,0,0,0,1
2.25,890,0,0,0,1,0,0,0,0,1
3.04,0,0,0,0,0,0,0,0,0,0
3.83,880,0,1,0,1,1,0,0,0,1
3.96,0,0,0,0,1,0,0,0,0,0
3.8,0,0,0,0,0,0,1,1,2,1
0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
4.13,0,0,0,1,5,1,0,0,0,1
3.82,0,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,2,0,2,0,2,1
3.21,0,0,0,0,0,0,0,0,0,0
3.89,0,0,0,0,4,0,0,0,1,1
3.58,0,0,0,1,5,1,0,1,3,1
2.87,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,2,0,0,0,0,0
3.44,0,0,0,0,4,0,0,0,0,1
3.81,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
3.98,0,0,0,0,4,0,0,0,0,1
2.94,540,0,0,0,4,0,0,0,0,1
3.96,0,0,0,0,2,0,0,0,0,0
3.6,675,0,0,0,3,0,0,0,0,1
0,0,0,0,0,4,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
2.94,745,0,0,0,2,0,1,0,3,1
3.24,0,0,0,0,1,0,0,0,0,0
2.77,0,0,1,0,1,0,0,0,0,0
3.6,0,0,0,0,2,0,0,0,0,0
3.69,735,0,0,0,2,0,0,0,0,1
3,735,0,0,0,1,0,0,0,0,1
3.26,870,0,0,1,0,1,0,0,0,1
3.4,0,0,0,0,0,0,2,0,0,1
3.63,0,0,0,0,3,0,0,0,1,1
4.1,920,0,4,0,2,1,0,0,0,1
3.5,860,0,0,0,0,0,0,0,0,0
3.5,860,0,0,0,0,0,0,0,0,0
3.5,860,0,0,0,0,0,0,0,0,0
3.7,825,0,0,0,1,0,0,0,0,0
4,955,0,0,1,0,1,0,0,0,1
3.7,825,0,0,0,1,0,0,0,0,0
4.13,730,0,0,0,2,0,0,0,0,0
4,955,0,0,1,0,1,0,0,0,1
3.59,895,0,0,0,1,1,0,1,0,1
3.49,940,6,0,0,4,2,2,0,4,1
3.5,975,0,4,0,1,1,0,0,0,1
3.5,860,0,0,0,0,0,0,0,0,0
3.85,985,0,0,0,4,0,1,2,0,1
3.5,860,0,0,0,0,0,0,0,0,0
3.43,810,6,0,0,3,0,0,0,0,1
3.7,825,0,0,0,1,0,0,0,0,0
3.49,940,6,0,0,4,2,2,0,4,1
3.72,870,0,0,0,3,0,0,0,3,1
3.49,940,6,0,0,4,2,2,0,4,1
4.1,920,0,1,0,2,2,0,0,1,1
3.75,0,6,0,0,2,0,0,2,2,1
3.49,940,6,0,0,4,2,2,0,4,1
3.59,895,0,0,0,1,1,0,1,0,1
3.2,800,0,2,0,0,0,0,0,1,0
3.43,810,6,0,0,3,0,0,0,0,1
3.72,870,0,0,0,3,0,0,0,3,1
3.5,860,0,0,0,0,0,0,0,0,0
3.02,890,0,0,0,3,0,0,0,1,1
3.75,0,6,0,0,2,0,0,2,2,1
3.5,735,6,0,0,3,0,0,1,3,1
4.17,820,0,0,0,2,0,1,2,2,1
3.7,935,6,0,0,0,0,0,0,0,1
3.77,970,0,0,0,2,0,0,0,0,1
3.64,915,6,0,0,2,0,0,1,4,1
3.48,0,0,1,0,0,1,0,0,0,0
3.73,750,0,0,0,5,0,0,0,0,1
3.1,880,6,0,0,0,0,0,0,0,0
3.63,890,0,1,0,1,0,0,1,0,1
3.72,940,0,4,0,1,1,3,1,0,1
3,0,0,1,0,0,0,0,0,0,0
4.1,900,0,0,0,0,0,0,0,0,0
3.94,0,6,0,0,2,0,5,0,0,1
3.98,875,0,0,0,2,0,0,1,0,1
4.03,925,0,0,0,2,1,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0
3.7,920,0,1,0,2,0,0,0,0,1
3.8,0,0,0,0,0,0,0,0,0,0
4.05,0,0,0,0,2,0,0,0,0,0
3.73,750,0,0,0,5,0,0,0,0,1
3.3,0,0,1,0,0,0,0,0,0,0
3.71,895,0,0,0,4,1,0,2,1,1
4.3,920,0,0,0,2,1,0,0,2,1
3.19,0,0,0,0,3,0,0,0,0,0
3.5,0,0,0,0,4,0,0,0,0,0
3.73,750,0,0,0,5,0,0,0,0,1
3.8,800,0,0,0,1,1,0,0,1,1
3.8,810,6,0,0,2,0,0,0,0,1
3.4,0,6,0,0,1,0,0,0,0,0
4.3,940,0,0,0,2,0,0,0,1,1
3.45,855,6,0,0,2,1,0,1,0,1
4.24,950,7,0,0,1,1,0,1,0,1
3.9,960,7,0,0,1,1,0,0,0,1
3.9,895,0,0,0,1,0,0,0,0,0
3.9,930,0,0,0,4,1,0,1,1,1
4.1,980,0,0,0,8,0,0,1,0,1
3.7,895,0,0,0,4,1,0,2,1,1
3.9,810,0,0,0,4,0,0,1,1,1
3.5,735,0,0,0,2,0,0,1,3,1
4,0,0,0,0,0,0,0,0,0,0
0,980,0,0,0,1,0,0,0,0,0
3.91,895,0,0,0,1,0,0,0,0,0
3.7,895,6,0,0,5,1,0,2,1,1
3.7,895,6,0,0,5,1,0,2,1,1
3.9,810,0,0,0,0,0,0,1,1,1
3.7,895,6,0,0,1,1,0,2,1,1
3.61,525,0,0,0,2,0,1,0,1,1
3.77,850,0,0,0,5,1,0,0,0,1
3.01,850,0,0,0,0,1,0,0,0,0
2.5,950,6,3,0,4,0,0,0,1,1
3.75,770,0,0,0,0,0,1,2,1,1
3.39,865,0,0,0,0,1,0,0,0,0
4.36,965,0,0,0,1,1,1,0,0,1
3.15,870,0,0,0,0,0,0,1,0,0
3.66,0,0,0,0,0,0,0,0,1,0
3.58,550,0,0,0,0,0,0,0,0,0
3.7,835,0,0,0,2,0,0,2,1,1
3.85,935,0,0,0,1,0,0,0,0,0
3.9,825,0,0,0,1,0,0,0,1,0
4.15,835,0,0,0,0,1,0,1,2,1
0,950,0,0,0,4,2,0,0,0,1
3.7,895,6,0,0,0,1,0,2,1,1
3.9,930,7,0,0,3,1,0,1,1,1
4.1,980,7,0,0,6,0,0,1,0,1
3.7,805,6,0,0,0,1,0,2,1,1
3.9,810,0,0,0,0,0,0,1,1,1
3.9,810,0,0,0,4,0,0,1,1,1
3.5,735,6,0,0,2,0,0,1,3,1
4,850,7,0,0,0,0,0,0,0,1
4.01,0,0,0,1,3,0,0,0,0,0
3.5,0,0,0,0,1,0,0,0,2,0
4.1,940,0,0,0,3,1,0,0,0,1
3.7,985,0,0,0,1,0,0,1,0,1
4.3,910,0,0,0,8,0,0,0,1,1
4.2,780,0,0,0,6,0,0,1,1,1
3.7,870,0,0,0,3,0,0,0,0,1
4.1,950,0,0,0,0,0,0,1,0,0
4.1,950,0,0,0,0,0,0,1,0,0
3.3,875,0,0,0,3,1,0,0,2,1
4,850,0,0,0,0,0,0,0,0,0
2.5,950,0,0,0,4,0,0,0,1,1
3.6,870,0,0,0,2,1,0,1,0,1
3.6,970,0,0,0,4,1,0,0,0,1
3.6,870,6,3,0,2,1,0,1,0,1
3.9,740,0,0,0,0,0,0,0,0,0
3.13,700,0,0,0,1,1,0,1,0,1
3.47,875,0,0,0,4,0,0,0,0,1
3.26,890,0,0,0,3,0,0,0,0,1
3.65,810,0,0,0,2,0,0,0,0,0
3.83,890,5,0,0,4,0,0,1,1,1
3.07,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,1,0,1,0,1,1
3.3,0,5,0,0,1,0,2,0,1,1
4.1,730,0,0,0,3,0,2,0,1,1
3.2,600,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,3,1
4.05,730,0,2,0,3,0,2,0,1,1
3.4,785,0,0,0,2,0,0,0,0,1
3.49,0,0,0,0,1,0,0,0,0,0
3.5,0,0,1,0,1,0,0,0,2,1
3.4,785,0,0,0,3,0,0,0,0,1
3.1,895,7,0,0,1,0,0,0,0,1
3.2,0,0,0,0,4,0,0,0,0,1
0,920,0,0,0,0,1,1,0,0,1
0,0,0,0,0,3,0,0,0,1,0
